domain,batch,placed_company,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary
Mobile Development Using Flutter,BCE23,Bitroot,Flutter Engineer,23.0,Degree,Yes,No,10.0,Yes,3.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCE23,Duple IT Solutions Pvt. Ltd.,Software Development Engineer-1,22.0,No Degree,Yes,No,10.0,No,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCE22,Duple IT Solutions Pvt. Ltd.,Software Development Engineer-1,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
Web Development Using Python Django + React,BCE23,Archingen India Private Ltd,Software Developer,24.0,No Degree,No,No,13.0,Yes,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCE28,Bitroot,Fullstack Engineer,23.0,No Degree,No,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCE22,Arvension Technologies LLP,Junior Full Stack Developer,22.0,No Degree,Yes,No,9.0,No,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCE22,Arvension Technologies LLP,Junior Full Stack Developer,22.0,No Degree,Yes,No,7.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.5
MERN Stack,BCE23,Rough Bit LLP (FinalApps),Junior Developer,19.0,No Degree,No,No,9.0,No,7.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,2.4
Mobile Development Using Flutter,BCE23,India Health Link,Mobile App Developer ,21.0,No Degree,Yes,No,9.0,Yes,4.0,Manjeri Malappuram ,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,4.8
MERN Stack,BCE20,Digital Brain Media,MERN Stack Developer,22.0,No Degree,Yes,No,10.0,No,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
Web Development Using Python Django + React,BCE20,Acabes International Pvt Ltd,Technology Associate ,23.0,No Degree,No,No,14.0,Yes,0.0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,4.7
MERN Stack,BCE23,BOSC Tech Labs,Software Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,6.0
MERN Stack,BCE20,Edumetrix Learning Solutions Pvt Ltd. ,Full Stack Engineer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
Mobile Development Using Flutter,BCE20,Bask Creative,Application Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.5
Web Development Using Python Django + React,BCE20,Syoft,Junior Software Developer,24.0,No Degree,No,No,12.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Web Development Using Python Django + React,BCE25,Conscio Tech,Software Development Engineer,23.0,No Degree,No,No,10.0,Yes,7.0,Manjeri Malappuram ,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,4.8
Game development using Unity,BCK26,ConvAI Innovations Pvt. Ltd.,Senior Game Developer,31.0,Degree,No,No,9.0,No,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.0
Mobile Development Using Flutter,BCK24,Zaigo Infotech, Junior Software Engineer,23.0,No Degree,No,No,13.0,Yes,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
Mobile Development Using Flutter,BCE23,ComboNation,Jr Flutter Developer,21.0,Degree,Yes,No,9.0,No,4.0,Calicut ,"Dart,Api integration,",Yes,5.0
Mobile Development Using Flutter,BCE20,Cynbus,Mobile Developer,22.0,Degree,No,No,10.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
MERN Stack,BCE25,Ziance Technologies,MERN Stack Developer,22.0,Degree,Yes,No,10.0,No,2.0,WFH,"React js ,React query",Yes,5.67
MERN Stack,BCK24,Klinik Everywhere Technologies Pvt. Ltd.,Software Engineer,24.0,No Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Machine Learning,BCE21,Brototype,Junior Software Engineer ,22.0,Degree,No,No,13.0,Yes,0.0,WFH,"Flutter, firbase, API",Yes,3.6
Mobile Development Using Flutter,BCK24,Klinik Everywhere Technologies Pvt. Ltd.,Software Engineer,22.0,Degree,Yes,No,10.0,Yes,5.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCE30,IQVIA,Clinical Data Programming Associate,21.0,No Degree,Yes,No,7.0,No,7.0,On site,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCE25,Script Lanes,Backend Developer ,22.0,Degree,Yes,No,12.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.5
MERN Stack,BCE22,Ethnic Infotech,MERN Stack Developer,22.0,No Degree,No,No,10.0,No,7.0,Hyderabad,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
Mobile Development Using Flutter,BCK24,Marlo Technologies,Associate Flutter Developer,22.0,No Degree,Yes,No,10.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Mobile Development Using Flutter,BCK24,Detect Technologies Pvt Ltd.,Junior Software Engineer(SE 1),22.0,No Degree,Yes,No,10.0,No,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Golang,BCE22,Wednesday Solutions,Software Engineer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.5
Web Development Using Python Django,BCE22,Zartek Technologies,Python Developer ,23.0,Degree,Yes,No,12.0,Yes,2.0,WFH,"React, Node, Html, CSS, Mongodb",Yes,3.0
Mobile Development Using Flutter,BCE23,Promena LLP,Junior Android Developer,23.0,No Degree,No,No,12.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
MERN Stack,BCK24,Aifer Education Pvt. Ltd.,Full Stack Developer,23.0,No Degree,No,No,13.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCE25,Riafy Technologies Pvt Ltd ,Full Stack Developer,22.0,No Degree,Yes,No,10.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
MERN Stack,BCE20,Bluestream Software Solutions (OPC) PVT LTD,Full Stack Developer,22.0,Degree,No,No,12.0,Yes,3.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Web Development Using Python Django,BCK26,Chisquare Labs Pvt Ltd,Data Engineer Intern,25.0,Degree,No,No,8.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",No,2.4
Mobile Development Using Flutter,BCE25,TerraEagle Technologies,Flutter Developer ,22.0,Degree,No,No,14.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Mobile Development Using Flutter,BCE23,MSA Software ,Android Developer ,22.0,No Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
MERN Stack,BCE23,BOSC Tech Labs,Software Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
Web Development Using Python Django,BCK24,CloudEQ,Junior Software Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React, Node, Html, CSS, Mongodb",Yes,6.0
MERN Stack,BCE28,TBT Enterprise Mobile Solutions Private Limited,Full Stack Developer,23.0,No Degree,No,No,16.0,Yes,4.0,Bangalore,"React, Node, Html, CSS, SCSS, Next",Yes,3.6
Web Development Using Python Django,BCE25,Konsultera Solutions Private Limited,Software Engineer,21.0,Degree,Yes,No,12.0,No,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
MERN Stack,BCK26,Neutrinos,Associate Software Engineer,23.0,Degree,Yes,No,10.0,No,1.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.5
MERN Stack,BCE28,Reon Technologies Pvt. Ltd.,Full Stack Developer ,22.0,Degree,Yes,No,12.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
MERN Stack,BCK26,Sensesemi Technologies Pvt. Ltd.,Software Engineer ,23.0,No Degree,No,No,9.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
MERN Stack,BCK26,Shazab Futuretech Solutions Pvt. Ltd.,Node js Engineer,23.0,Degree,No,No,7.0,Yes,0.0,Pune,"Go, SQL, HTML, CSS",Yes,4.2
Golang,BCE25,Coriolis Technologies Pvt. Ltd.,"Golang Developer(Member, Technical Staff) ",22.0,No Degree,Yes,No,13.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
MERN Stack,BCK24,Inunity LLP,Full Stack Developer,21.0,Degree,Yes,No,12.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Mobile Development Using Flutter,BCK26, SciWiz Innovations Pvt. Ltd.,Flutter Trainer,26.0,Degree,No,No,10.0,No,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
MERN Stack,BCE25,Zartek Technologies,Jr. React JS Developer ,22.0,Degree,Yes,No,7.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCK26,Arokee Online Solutions Pvt. ltd. ,Associate Software Engineer ,22.0,Degree,No,No,10.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Web Development Using Python Django,BCK26,Brillersys,Python Developer,22.0,No Degree,No,No,7.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
MERN Stack,BCE25,Bipolar Factory,Junior Full-Stack Developer ,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCK24,MedLink Jobs,Software Engineer,22.0,Degree,Yes,No,10.0,No,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
Mobile Development Using Flutter,BCK26,Feblead Developers Technolab,Mobile App Developer ,23.0,No Degree,Yes,No,9.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
MERN Stack,BCK24,MedLink Jobs,Software Engineer ,22.0,No Degree,No,No,10.0,No,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.5
MERN Stack,BCE28,ISPG technologies India Pvt. Ltd.,Junior Software Engineer ,23.0,Degree,Yes,No,10.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCK26,Riota Private Limited,Junior Full Stack Developer,23.0,No Degree,No,No,9.0,No,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.8
MERN Stack,BCK24,VMax Wellness,Junior Software Engineer ,22.0,Degree,Yes,No,7.0,Yes,7.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
Web Development Using Python Django,BCK26,Bottom Funnel Technology Pvt Ltd,Python Full Stack Developer Intern,24.0,Degree,No,No,10.0,No,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
MERN Stack,BCK26,Mere Mentor ,Full Stack Developer ,23.0,Degree,Yes,No,9.0,Yes,2.0,Bangalore,"Go, SQL, HTML, CSS",Yes,4.8
MERN Stack,BCK26,Spericorn Technology Pvt. Ltd.,NodeJS Developer ,22.0,Degree,Yes,No,8.0,Yes,4.0,Chennai,"React,Python,SQL,Django,Html,Css",Yes,4.5
Golang,BCK26,Eka Care(Orbi Health Pvt. Ltd.),Associate Software Engineer ,25.0,Degree,No,No,7.0,No,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.1
Data Science,BCE22,Mapout Pvt. Ltd.,Data Scientist ,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Dart,Api integration,",Yes,6.0
Mobile Development Using Flutter,BCE23,Real 11 Fantasy Sports LLP,Flutter Developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
Mobile Development Using Flutter,BCE23,Sowedane Technologies,Flutter Developer,23.0,No Degree,No,No,12.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
Golang,BCE25,Arvension Technologies LLP,Project Architect,22.0,Degree,No,No,12.0,No,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.0
MERN Stack,BCK24,Duple IT Solutions Pvt. Ltd.,Software Development Engineer I,21.0,Degree,No,No,10.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Mobile Development Using Flutter,BCK26,XTG Technologies,Associate Software Engineer,25.0,No Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Mobile Development Using Flutter,BCK24,DataSpot Technologies,Junior Flutter Developer ,22.0,Degree,Yes,No,10.0,Yes,5.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,2.4
Mobile Development Using Flutter,BCK26,TruEquations Private Limited,Software Engineer ,23.0,No Degree,No,No,9.0,No,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.0
Mobile Development Using Flutter,BCE28,DCKAP Technologies,Software Developer,23.0,No Degree,No,No,12.0,No,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCK26,Mapout Pvt. Ltd.,Full Stack Developer,24.0,No Degree,Yes,No,10.0,Yes,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
Web Development Using Python Django + Angular,BCE28,CSC-Ag Merchants Private Limited,Full-Stack Developer,22.0,Degree,Yes,No,9.0,No,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
MEAN Stack,BCK27,Knorr-Bremse Technology Center India Pvt,Trainee Engineer,22.0,Degree,Yes,No,10.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Mobile Development Using Flutter,BCK24,Plateron Pvt. Ltd.,Software Engineer,23.0,No Degree,Yes,No,10.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Mobile Development Using Flutter,BCK24,iKure Techsoft Pvt Ltd,Senior Flutter Developer,22.0,No Degree,Yes,No,10.0,No,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.4
Mobile Development Using Flutter,BCK26,TruEquations Private Limited,Software Engineer ,22.0,No Degree,Yes,No,8.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.5
MERN Stack,BCK26,Megamind Studios LLP,Full Stack Developer,23.0,Degree,No,No,10.0,Yes,2.0,Bangalore,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,4.5
Mobile Development Using Flutter,BCK26,Node Technologies India Pvt. Ltd. ,Junior Flutter Developer ,23.0,Degree,Yes,No,7.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.5
MERN Stack,BCK26,Duple IT Solutions Pvt. Ltd.,Software Development Engineer,23.0,Degree,No,No,9.0,Yes,2.0,Bangalore,"Dart,Api integration,",Yes,5.0
Mobile Development Using Android Kotlin,BCK24,FlytBase Labs Private Limited,Android Developer,22.0,No Degree,Yes,No,8.0,Yes,7.0,Bangalore,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,7.0
MERN Stack,BCE25,Reon Technologies Pvt. Ltd.,MERN Stack Developer,22.0,No Degree,Yes,No,7.0,Yes,7.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
MERN Stack,BCE25,Weboffice Infotech India Pvt. Ltd. ,Software Engineer ,21.0,No Degree,Yes,No,9.0,Yes,5.0,On site,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,4.8
Web Development Using Python Django,BCK26,ATMS Tech Solutions Pvt Ltd,Software Development Engineer ,27.0,Degree,Yes,No,7.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
MERN Stack,BCK26,Ti Steps,Junior - Full - Stack Developer,25.0,No Degree,Yes,No,9.0,No,7.0,Bangalore,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,6.0
Web Development Using Python Django + React,BCK26,Fitmat Smart Solutions Pvt Ltd ,Jr. Full Stack Developer,31.0,Degree,No,No,8.0,No,0.0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",No,2.4
Machine Learning,BCK31,Vidgyor Media Technologies Private Limited,Machine Learning Engineer,23.0,No Degree,Yes,No,9.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Mobile Development Using Flutter,BCK27,CredR,Fluttter Developer,22.0,No Degree,Yes,No,9.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.2
MERN Stack,BCK26,Duple IT Solutions Pvt. Ltd.,Software Development Engineer,24.0,Degree,No,No,10.0,No,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.96
MERN Stack,BCK24,Steinbeis India,Software Developer,22.0,No Degree,Yes,No,10.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
MERN Stack,BCK26,DWORD Core Private Limited.,MERN Stack Developer,23.0,Degree,No,No,7.0,Yes,2.0,Manjeri Malappuram ,"Dart,Api integration,",Yes,3.6
Mobile Development Using Flutter,BCE25,Entro Labs IT Solutions ,Junior Software Developer ,22.0,Degree,No,No,10.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
Mobile Development Using Flutter,BCK24,AI hawks Software Solutions Pvt. Ltd.,Flutter Developer,23.0,No Degree,No,No,9.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.0
MERN Stack,BCE23,Edurupt Technologies Pvt Ltd,Junior Full Stack Developer ,22.0,No Degree,No,No,10.0,No,7.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
MERN Stack,BCK24,QBLOCKS Technologies Pvt. Ltd.,Software Engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
MERN Stack,BCK27,Duple IT Solutions Pvt. Ltd.,Software Development Engineer,22.0,No Degree,No,No,10.0,No,5.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.2
Web Development Using Python Django + React,BCK27,Genpro Research pvt ltd,Software Engineer ,22.0,Degree,No,No,11.0,Yes,1.0,Chennai works from office ,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
MERN Stack,BCK26,Primatesdev technology ,Full Stack Developer,23.0,No Degree,No,No,10.0,No,1.0,Bangalore,"Go, SQL, HTML, CSS",Yes,4.2
MEAN Stack,BCE28,Cordova Educational Solutions,Mean Stack Developer ,22.0,No Degree,Yes,No,12.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.2
MERN Stack,BCK26,E Slams,Associate software Engineer ,24.0,Degree,No,No,10.0,No,0.0,Pune,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,4.6
Web Development Using Python Django,BCE28,Poisecode,Backend developer (Django),22.0,No Degree,Yes,No,7.0,Yes,4.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
Web Development Using Python Django,BCE30,YouGotaGift Pvt. Ltd.,Django developer ,22.0,Degree,Yes,No,9.0,Yes,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.9
MERN Stack,BCK24,Eslams ,Associate software Engineer ,21.0,No Degree,Yes,No,7.0,Yes,4.0,Manjeri Malappuram ,"React js ,React query",Yes,4.5
MEAN Stack,BCE28,CharpstAR,Junior Full Stack Developer ,22.0,No Degree,Yes,No,9.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.04
MERN Stack,BCE30,Arvension Technologies LLP,Full Stack Developer,24.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,Bangalore,"Dart,Api integration,",Yes,4.0
MERN Stack,BCE28,Arvension Technologies LLP,MERN Stack Developer,22.0,Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
MERN Stack,BCK32,Enfin Technologies,Jr. Software Engineer,23.0,Degree,Yes,No,9.0,Yes,5.0,WFH,"React,Python,SQL,Django,Html,Css",Yes,2.5
Web Development Using Python Django,BCK27,Zelthy,Jr. Software Developer,24.0,Degree,No,No,12.0,No,0.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.5
Mobile Development Using Flutter,BCK27,Zooper Technologies Pvt Ltd,Associate Software ,23.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
Mobile Development Using Flutter,BCE25,Reon Technologies Pvt. Ltd.,Flutter Developer ,22.0,No Degree,Yes,No,9.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Mobile Development Using Flutter,BCK29,Xcitech Technologies,Software Engineer,22.0,No Degree,Yes,No,10.0,No,0.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",No,5.0
Web Development Using Python Django,BCK26,Triveous,Software Engineer ,22.0,No Degree,Yes,No,7.0,Yes,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.3
Mobile Development Using Flutter,BCK26,TL Technologies pvt.ltd,Flutter Developer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
Golang,BCE25,NST Cyber,Associate Product Engineer ,23.0,No Degree,Yes,No,10.0,No,0.0,WFH,"React, Node, Html, CSS, Mongodb",Yes,6.0
Web Development Using Python Django,BCK24,NST Cyber,Associate Product Engineer ,22.0,No Degree,Yes,No,7.0,No,4.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
MERN Stack,BCE28,Arvension Technologies LLP,MERN Stack Developer,25.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MEAN Stack,BCE28,FlexM Pvt. Ltd.,Full Stack Developer,23.0,No Degree,No,No,14.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCE25,Arvension Technologies LLP,Full Stack Developer,24.0,No Degree,No,No,16.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCE25,ILapz Technologies,Full Stack Developer,22.0,Degree,No,No,12.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.0
MERN Stack,BCK31,Bitroot,Full Stack Developer,23.0,Degree,No,No,14.0,Yes,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.0
